"Table 1: Journeys with an out of station interchange (OSI), 26th October - 21st December 2020",,,
"Notes: Volumes have been rounded to the nearest 10, therefore journeys volumes below 5 have been suppressed.",,,
             Incomplete journeys are not included,,,
Start_station,End_station,Volume of Journeys,
Tooting Broadway,Thornton Heath, 850 ,
Wimbledon,Tottenham Court Road, 850 ,
East Croydon,Turnpike Lane, 850 ,
Kings Cross LU (North),Wimbledon, 850 ,
Liverpool Street NR,Blackhorse Road, 840 ,
Imperial Wharf,Bond Street, 840 ,
Victoria LU,Cheshunt, 840 ,
Bromley South,Embankment, 840 ,
Euston Square,Forest Gate, 840 ,
Chadwell Heath,Great Portland Street, 840 ,
Sutton Surrey,Green Park, 840 ,
South Kensington,Herne Hill, 840 ,
Stratford,Kings Cross LU (Western), 840 ,
Earlsfield,London Bridge NR, 840 ,
Bromley South,Seven Sisters, 840 ,
Cheshunt,Victoria LU, 840 ,
Gospel Oak,Wembley Park, 840 ,
Raynes Park,Bond Street, 830 ,
East Acton,Clapham Junction, 830 ,
Baker Street,Ealing Broadway, 830 ,
Tooting Broadway,East Croydon, 830 ,
Gloucester Road,East Croydon, 830 ,
Walthamstow Central,Enfield Lock, 830 ,
East Croydon,Finsbury Park LU, 830 ,
Norwood Junction SR,Green Park, 830 ,
Bromley South,Kings Cross LU (North), 830 ,
Northfields,Ladbroke Grove, 830 ,
Hayes & Harlington,London Bridge LU, 830 ,
Bond Street,Mill Hill Broadway, 830 ,
Oxford Circus,Norwood Junction SR, 830 ,
Crystal Palace,Oxford Circus, 830 ,
Wimbledon,Piccadilly Circus, 830 ,
Stockwell,Putney, 830 ,
Bond Street,Raynes Park, 830 ,
Euston Square,Seven Kings, 830 ,
Limehouse DLR,Shoreditch High Street, 830 ,
Peckham Rye,South Kensington, 830 ,
East Croydon,Tooting Broadway, 830 ,
Sloane Square,Upminster, 830 ,
Stratford,Wandsworth Town, 830 ,
Norbury,Warren Street, 830 ,
Clapham Junction,Barking, 820 ,
Vauxhall NR,Canning Town, 820 ,
High Street Kensington,East Croydon, 820 ,
Bond Street,East Dulwich, 820 ,
Thornton Heath,Elephant & Castle, 820 ,
Old Street,Harrow & Wealdstone, 820 ,
London Bridge LU,Hayes & Harlington, 820 ,
Wood Lane,Hounslow East, 820 ,
Surbiton,Leicester Square, 820 ,
Warren Street,Lewisham NR, 820 ,
Oxford Circus,Nunhead, 820 ,
Worcester Park,Oxford Circus, 820 ,
Seven Sisters,Bromley South, 810 ,
Notting Hill Gate,Clapham Junction, 810 ,
St Johns Wood,East Croydon, 810 ,
Wimbledon,Finsbury Park LU, 810 ,
Streatham Common,Green Park, 810 ,
Watford Junction,Green Park, 810 ,
East Acton,Hammersmith C&H, 810 ,
East Croydon,Highbury & Islington, 810 ,
Forest Gate,Kings Cross LU (Western), 810 ,
Upton Park,Lewisham DLR, 810 ,
Watford Junction,Moorgate, 810 ,
Ealing Broadway,Oxford Circus, 810 ,
Edgware Road C&H,Romford, 810 ,
St Pauls,Romford, 810 ,
Victoria LU,Romford, 810 ,
Tottenham Court Road,Shenfield, 810 ,
Clapham Junction,St Johns Wood, 810 ,
Vauxhall LU,Watford Junction, 810 ,
Canning Town,Wimbledon, 810 ,
Green Park,Barnes, 800 ,
Deptford,Bond Street, 800 ,
Manor House,Clapham Junction, 800 ,
Old Street,Clapham Junction, 800 ,
Kings Cross LU (Western),Ealing Broadway, 800 ,
East Croydon,Earls Court, 800 ,
Kings Cross LU (North),Earlsfield, 800 ,
Greenwich,Green Park, 800 ,
Tottenham Court Road,Ilford, 800 ,
Clapham Junction,Notting Hill Gate, 800 ,
Lewisham NR,Old Street, 800 ,
Oxford Circus,Shortlands, 800 ,
Oxford Circus,Wandsworth Common, 800 ,
Surbiton,Warren Street, 800 ,
Finsbury Park LU,Wimbledon, 800 ,
Oxford Circus,Amersham, 790 ,
Barnes,Brixton LU, 790 ,
St Johns Wood,Clapham Junction, 790 ,
Wimbledon,Euston LU, 790 ,
Mortlake,Green Park, 790 ,
Clapham Junction,Hanger Lane, 790 ,
Wimbledon,Leicester Square, 790 ,
Orpington,Oxford Circus, 790 ,
Coulsdon South,Oxford Circus, 790 ,
Ealing Broadway,Piccadilly Circus, 790 ,
Oxford Circus,St Mary Cray, 790 ,
West Norwood,Tooting Broadway, 790 ,
Clapham Junction,Tower Hill, 790 ,
St James's Park,Upminster, 790 ,
Putney,Walthamstow Central, 790 ,
Bond Street,Wandsworth Town, 790 ,
Clapham Junction,White City, 790 ,
Tottenham Court Road,Wimbledon, 790 ,
Hounslow East,Wood Lane, 790 ,
Clapham Junction,Angel, 780 ,
Upminster,Blackfriars LU, 780 ,
Raynes Park,Brixton LU, 780 ,
Regents Park,Clapham Junction, 780 ,
Sloane Square,Clapham Junction, 780 ,
Turnpike Lane,Clapham Junction, 780 ,
Bond Street,Deptford, 780 ,
Canning Town,Earlsfield, 780 ,
Clapham Junction,East Acton, 780 ,
Ponders End,Finsbury Park LU, 780 ,
Bond Street,Gidea Park, 780 ,
Great Portland Street,Ilford, 780 ,
Holborn,Ilford, 780 ,
Barnes,London Bridge LU, 780 ,
Wandsworth Town,London Bridge NR, 780 ,
Sydenham Hill,Oxford Circus, 780 ,
Brixton LU,Raynes Park, 780 ,
Canary Wharf LU (E1),Raynes Park, 780 ,
Baker Street,Romford, 780 ,
Abbey Wood,South Kensington, 780 ,
Kings Cross LU (North),Surbiton, 780 ,
Oxford Circus,Teddington, 780 ,
Enfield Lock,Victoria LU, 780 ,
Tooting Broadway,West Croydon, 780 ,
Bond Street,Bexleyheath, 770 ,
Kilburn Park,Ealing Broadway, 770 ,
Lewisham DLR,East Ham, 770 ,
Oxford Circus,Gidea Park, 770 ,
Ladbroke Grove,Northfields, 770 ,
Canary Wharf LU (E1),Orpington, 770 ,
South Kensington,Peckham Rye, 770 ,
Finsbury Park LU,Putney, 770 ,
London Bridge LU,Twickenham, 770 ,
Blackfriars LU,Upminster, 770 ,
Warren Street,Wandsworth Town, 770 ,
Welling,Bond Street, 760 ,
Cutty Sark,Bond Street, 760 ,
Piccadilly Circus,Earlsfield, 760 ,
Highbury & Islington,East Croydon, 760 ,
Stratford,Euston Square, 760 ,
Great Portland Street,Goodmayes, 760 ,
Ilford,Great Portland Street, 760 ,
Ladbroke Grove,Hounslow East, 760 ,
Shepherds Bush Market,Knightsbridge, 760 ,
Putney,North Greenwich, 760 ,
Barnes Bridge,Oxford Circus, 760 ,
Mitcham Eastfields,Oxford Circus, 760 ,
St Margarets London,Oxford Circus, 760 ,
North Greenwich,Putney, 760 ,
Norbury,Tooting Broadway, 760 ,
Clapham Junction,Turnpike Lane, 760 ,
Oxford Circus,West Norwood, 760 ,
Stockwell,Wimbledon, 760 ,
London Bridge NR,Wimbledon, 760 ,
Hounslow West,Wood Lane, 760 ,
Surbiton,Baker Street, 750 ,
Hayes & Harlington,Baker Street, 750 ,
Victoria LU,Barking, 750 ,
Oxford Circus,Bushey, 750 ,
Hanger Lane,Clapham Junction, 750 ,
Oxford Circus,Coulsdon South, 750 ,
Stratford,Edmonton Green, 750 ,
Wembley Park,Gospel Oak, 750 ,
Feltham,London Bridge LU, 750 ,
Ealing Broadway,Maida Vale, 750 ,
Canning Town,Putney, 750 ,
Green Park,Richmond, 750 ,
Warren Street,Streatham Common, 750 ,
Westminster,Upminster, 750 ,
Finsbury Park LU,Waltham Cross, 750 ,
Lewisham NR,Camden Town, 740 ,
Tottenham Court Road,Earlsfield, 740 ,
Harold Wood,Euston Square, 740 ,
Gidea Park,Farringdon, 740 ,
Putney,Finsbury Park LU, 740 ,
Waltham Cross,Finsbury Park LU, 740 ,
Embankment,Grays, 740 ,
Elstree & Borehamwood,Green Park, 740 ,
Earlsfield,Highbury & Islington, 740 ,
Barbican,Ilford, 740 ,
Oxford Circus,Ilford, 740 ,
Canning Town,Lewisham DLR, 740 ,
Old Street,Lewisham NR, 740 ,
Warren Street,Norbury, 740 ,
Oxford Circus,Orpington, 740 ,
Upper Warlingham,Oxford Circus, 740 ,
Piccadilly Circus,West Drayton, 740 ,
Southall,Barbican, 730 ,
Tooting Broadway,Battersea Park, 730 ,
Wandsworth Town,Bond Street, 730 ,
Kings Cross LU (North),Bromley South, 730 ,
Kings Cross LU (Tube),Bromley South, 730 ,
Upminster,Canary Wharf DLR, 730 ,
Earlsfield,Euston LU, 730 ,
London Bridge LU,Feltham, 730 ,
Wood Lane,Hounslow West, 730 ,
Hounslow East,Ladbroke Grove, 730 ,
Knightsbridge,Lewisham NR, 730 ,
Oxford Circus,Mitcham Eastfields, 730 ,
Ponders End,Oxford Circus, 730 ,
West Drayton,Piccadilly Circus, 730 ,
Walthamstow Central,Putney, 730 ,
Canary Wharf LU (E1),Queenstown Road Battersea, 730 ,
Marble Arch,Romford, 730 ,
Clapham Junction,Sloane Square, 730 ,
Bond Street,Twickenham, 730 ,
Euston LU,Wimbledon, 730 ,
Barons Court,Wood Lane, 730 ,
Ilford,Barbican, 720 ,
Cutty Sark,Barking, 720 ,
South Quay,Barking, 720 ,
Mottingham,Bond Street, 720 ,
Bond Street,Clapton, 720 ,
Highbury & Islington,Enfield Lock, 720 ,
Tottenham Court Road,Gidea Park, 720 ,
Queens Park,Old Street, 720 ,
Kings Cross LU (Tube),Putney, 720 ,
Highbury & Islington,Putney, 720 ,
Oxford Circus,Sanderstead, 720 ,
Battersea Park,Tooting Broadway, 720 ,
Hayes & Harlington,Vauxhall LU, 720 ,
London Bridge NR,Wandsworth Town, 720 ,
South Kensington,Abbey Wood, 710 ,
Queenstown Road Battersea,Canary Wharf LU (E1), 710 ,
Putney,Canning Town, 710 ,
Oxford Circus,Chadwell Heath, 710 ,
Highbury & Islington,Earlsfield, 710 ,
East Ham,East Croydon, 710 ,
Manor Park,Euston Square, 710 ,
Victoria LU,Harrow & Wealdstone, 710 ,
Twickenham,London Bridge LU, 710 ,
Wimbledon,London Bridge NR, 710 ,
Cheam,Oxford Circus, 710 ,
Abbey Wood,Oxford Circus, 710 ,
Hither Green,Oxford Circus, 710 ,
Romford,Paddington LU, 710 ,
Old Street,Queens Park, 710 ,
Earlsfield,Tottenham Court Road, 710 ,
Watford Junction,Vauxhall LU, 710 ,
Enfield Lock,Warren Street, 710 ,
Green Park,Watford Junction, 710 ,
Brixton LU,Watford Junction, 710 ,
Bond Street,Welling, 710 ,
Oxford Circus,West Ealing, 710 ,
Queens Rd Peckham,Bond Street, 700 ,
Bond Street,Bromley South, 700 ,
Raynes Park,Canary Wharf LU (E1), 700 ,
Turnpike Lane,East Croydon, 700 ,
Covent Garden,East Croydon, 700 ,
Romford,Edgware Road C&H, 700 ,
Goodmayes,Great Portland Street, 700 ,
Baker Street,Hayes & Harlington, 700 ,
Northolt,Imperial Wharf, 700 ,
Hackbridge,Oxford Circus, 700 ,
London Bridge NR,Richmond, 700 ,
Barnes,Seven Sisters, 700 ,
Wandsworth Town,Seven Sisters, 700 ,
West Dulwich,South Kensington, 700 ,
Penge East,South Kensington, 700 ,
Kent House,South Kensington, 700 ,
Warren Street,Sutton Surrey, 700 ,
Oxford Circus,Sydenham Hill, 700 ,
Brixton LU,Twickenham, 700 ,
Sutton Surrey,Warren Street, 700 ,
Blackheath,Bond Street, 690 ,
Hammersmith D&P,Bromley South, 690 ,
Wembley Park,Clapham Junction, 690 ,
Wembley Park,Dalston Kingsland, 690 ,
Bond Street,Dartford, 690 ,
Canada Water,East Croydon, 690 ,
Earlsfield,Finsbury Park LU, 690 ,
Lewisham NR,Hammersmith D&P, 690 ,
Neasden,Hampstead Heath, 690 ,
Euston Square,Harold Wood, 690 ,
Farringdon,Hayes & Harlington, 690 ,
Putney,Highbury & Islington, 690 ,
Richmond,London Bridge NR, 690 ,
Bond Street,Mottingham, 690 ,
Grove Park,Old Street, 690 ,
West Norwood,Oxford Circus, 690 ,
South Kensington,Penge East, 690 ,
Richmond,Piccadilly Circus, 690 ,
Piccadilly Circus,Richmond, 690 ,
Knightsbridge,Shepherds Bush Market, 690 ,
East Croydon,Stockwell, 690 ,
Euston LU,Surbiton, 690 ,
Streatham Common,Tooting Broadway, 690 ,
Canning Town,Wandsworth Town, 690 ,
Clapham Junction,Wembley Park, 690 ,
Richmond,Westbourne Park, 690 ,
Hounslow Central,Wood Lane, 690 ,
London Bridge LU,Barnes, 680 ,
Dartford,Bond Street, 680 ,
Cannon Street  LU,Clapham Junction, 680 ,
White City,Clapham Junction, 680 ,
Ladbroke Grove,Earls Court, 680 ,
Watford Junction,Farringdon, 680 ,
Canary Wharf LU (E1),Feltham, 680 ,
Ealing Broadway,Kilburn Park, 680 ,
Gidea Park,Kings Cross LU (Western), 680 ,
Northolt,Ladbroke Grove, 680 ,
Green Park,Norwood Junction SR, 680 ,
Surbiton,Old Street, 680 ,
Queenstown Road Battersea,Oxford Circus, 680 ,
Clapham Junction,Perivale, 680 ,
Euston LU,Putney, 680 ,
Abbey Wood,Sloane Square, 680 ,
Beckenham Junction,South Kensington, 680 ,
Putney,Stockwell, 680 ,
Brixton LU,Wandsworth Town, 680 ,
Kings Cross LU (North),Wandsworth Town, 680 ,
West Kensington,Wood Lane, 680 ,
East Croydon,Belsize Park, 670 ,
Eltham,Bond Street, 670 ,
Peckham Rye,Bond Street, 670 ,
Clapham Junction,Cannon Street  LU, 670 ,
Morden,Clapham Junction, 670 ,
Stockwell,East Croydon, 670 ,
Highams Park,Farringdon, 670 ,
Southall,Farringdon, 670 ,
Hayes & Harlington,Farringdon, 670 ,
Greenford,Hammersmith C&H, 670 ,
Farringdon,Highams Park, 670 ,
East Croydon,Holborn, 670 ,
Earls Court,Ladbroke Grove, 670 ,
Wandsworth Town,Leicester Square, 670 ,
Hammersmith D&P,Lewisham NR, 670 ,
Kingston,London Bridge LU, 670 ,
Kings Cross LU (Western),Manor Park, 670 ,
Clapham Junction,Marylebone LU, 670 ,
Earlsfield,Piccadilly Circus, 670 ,
Canning Town,Queenstown Road Battersea, 670 ,
Westbourne Park,Richmond, 670 ,
Richmond,Shepherds Bush Market, 670 ,
Upminster,South Kensington, 670 ,
Warren Street,Surbiton, 670 ,
Abbey Wood,Victoria LU, 670 ,
Streatham Common,Warren Street, 670 ,
Kentish Town,Wembley Park, 670 ,
Seven Kings,Barbican, 660 ,
Romford,Bond Street, 660 ,
Oxford Circus,Brentwood, 660 ,
Paddington LU,Bromley South, 660 ,
Feltham,Canary Wharf LU (E1), 660 ,
Lewisham DLR,Canning Town, 660 ,
Oxford Circus,Cheam, 660 ,
Perivale,Clapham Junction, 660 ,
Victoria LU,Enfield Lock, 660 ,
Wandsworth Town,Euston LU, 660 ,
Surbiton,Euston LU, 660 ,
Gidea Park,Great Portland Street, 660 ,
London Bridge LU,Kingston, 660 ,
Clapham Junction,Manor House, 660 ,
Kilburn High Road,Old Street, 660 ,
Putney,Piccadilly Circus, 660 ,
Upminster,Temple, 660 ,
South Kensington,Upminster, 660 ,
Mottingham,Vauxhall NR, 660 ,
Seven Sisters,Wandsworth Town, 660 ,
Kings Cross LU (Tube),Wandsworth Town, 660 ,
Tooting Broadway,West Norwood, 660 ,
Elstree & Borehamwood,Westminster, 660 ,
Walthamstow Central,Barnes, 650 ,
South Kensington,Carshalton, 650 ,
Hayes & Harlington,Charing Cross LU, 650 ,
East Ham,Clapham Junction, 650 ,
Canada Water,Clapham Junction, 650 ,
Lewisham NR,Earls Court, 650 ,
White City,East Croydon, 650 ,
Shenfield,Farringdon, 650 ,
Victoria LU,Grays, 650 ,
Abbey Wood,Green Park, 650 ,
Wandsworth Town,Highbury & Islington, 650 ,
Wimbledon,Highbury & Islington, 650 ,
Edgware Road C&H,Ilford, 650 ,
Manor Park,Kings Cross LU (Western), 650 ,
Tooting Broadway,Lewisham NR, 650 ,
Vauxhall NR,Lewisham NR, 650 ,
Euston Square,Manor Park, 650 ,
Green Park,Mortlake, 650 ,
Bexleyheath,Oxford Circus, 650 ,
Amersham,Oxford Circus, 650 ,
Bond Street,Shenfield, 650 ,
Upminster,St James's Park, 650 ,
Barking,St James's Park, 650 ,
Barnes,Walthamstow Central, 650 ,
Piccadilly Circus,Wandsworth Town, 650 ,
Barnes,Warren Street, 650 ,
New Malden,Warren Street, 650 ,
Hackney Central,Wembley Park, 650 ,
Chadwell Heath,Barbican, 640 ,
Seven Sisters,Barnes, 640 ,
Warren Street,Beckenham Junction, 640 ,
Lee,Bond Street, 640 ,
High Street Kensington,Bromley South, 640 ,
Willesden Green,Camden Road, 640 ,
Queenstown Road Battersea,Canning Town, 640 ,
Holborn,Chadwell Heath, 640 ,
Bond Street,Chadwell Heath, 640 ,
Archway,Clapham Junction, 640 ,
Stockwell,Clapham Junction, 640 ,
Balham LU,Denmark Hill, 640 ,
Maida Vale,Ealing Broadway, 640 ,
Finsbury Park LU,Earlsfield, 640 ,
East Croydon,East Ham, 640 ,
Green Park,Elstree & Borehamwood, 640 ,
Great Portland Street,Harold Wood, 640 ,
Holborn,Highams Park, 640 ,
Romford,Holborn, 640 ,
Wood Lane,Hounslow Central, 640 ,
Westbourne Park,Hounslow East, 640 ,
South Kensington,Kent House, 640 ,
Barons Court,Ladbroke Grove, 640 ,
Hounslow Central,Ladbroke Grove, 640 ,
Putney,Leicester Square, 640 ,
Langdon Park,London Bridge LU, 640 ,
New Malden,London Bridge LU, 640 ,
Ealing Broadway,Marylebone LU, 640 ,
Surbiton,Moorgate, 640 ,
Bond Street,New Cross, 640 ,
London Bridge LU,New Malden, 640 ,
Bond Street,New Malden, 640 ,
Tooting Broadway,Norbury, 640 ,
Latimer Road,Northfields, 640 ,
Epsom,Oxford Circus, 640 ,
Elstree & Borehamwood,Oxford Circus, 640 ,
Shepherds Bush Market,Richmond, 640 ,
Paddington LU,Romford, 640 ,
Farringdon,Stratford, 640 ,
Baker Street,Surbiton, 640 ,
Elephant & Castle,Thornton Heath, 640 ,
Sloane Square,West Dulwich, 640 ,
Hounslow East,Westbourne Park, 640 ,
Highbury & Islington,Wimbledon, 640 ,
Kings Cross LU (Tube),Wimbledon, 640 ,
Clapham Junction,Archway, 630 ,
Elstree & Borehamwood,Baker Street, 630 ,
South Kensington,Beckenham Junction, 630 ,
Wandsworth Town,Brixton LU, 630 ,
Kings Cross LU (Tube),Cheshunt, 630 ,
Piccadilly Circus,Ealing Broadway, 630 ,
Oxford Circus,Goodmayes, 630 ,
Wembley Park,Hackney Central, 630 ,
Elstree & Borehamwood,Hampstead Heath, 630 ,
Clapton,Holborn, 630 ,
Shoreditch High Street,Limehouse DLR, 630 ,
Ladbroke Grove,Northolt, 630 ,
Norbury,Old Street, 630 ,
Bond Street,Peckham Rye, 630 ,
Hounslow Central,Royal Oak, 630 ,
Denmark Hill,Sloane Square, 630 ,
West Dulwich,Sloane Square, 630 ,
Old Street,Surbiton, 630 ,
Welling,Vauxhall NR, 630 ,
Grove Park,Vauxhall NR, 630 ,
Waltham Cross,Victoria LU, 630 ,
Warren Street,Waltham Cross, 630 ,
Ponders End,Walthamstow Central, 630 ,
Dalston Kingsland,Wembley Park, 630 ,
Ilford,Wembley Park, 630 ,
Richmond,Baker Street, 620 ,
Bond Street,Blackheath, 620 ,
New Cross,Bond Street, 620 ,
Putney,Camden Town, 620 ,
Tower Hill,Clapham Junction, 620 ,
Tooting Bec,Denmark Hill, 620 ,
Sloane Square,Denmark Hill, 620 ,
Euston LU,Earlsfield, 620 ,
Chadwell Heath,Edgware Road C&H, 620 ,
Ilford,Edgware Road C&H, 620 ,
Bond Street,Eltham, 620 ,
Grays,Embankment, 620 ,
Tooting Broadway,Gipsy Hill, 620 ,
Vauxhall NR,Grove Park, 620 ,
Oxford Circus,Hackney Downs, 620 ,
Cheshunt,Kings Cross LU (Tube), 620 ,
Kings Cross LU (Tube),Lewisham NR, 620 ,
Hayes & Harlington,Liverpool Street LU, 620 ,
Queenstown Road Battersea,London Bridge LU, 620 ,
Catford Bridge,Oxford Circus, 620 ,
Wandsworth Town,Piccadilly Circus, 620 ,
Finsbury Park LU,Ponders End, 620 ,
Baker Street,Richmond, 620 ,
Orpington,South Kensington, 620 ,
Wimbledon,Stockwell, 620 ,
Tooting Broadway,Streatham Common, 620 ,
Seven Sisters,Surbiton, 620 ,
Oxford Circus,Upper Warlingham, 620 ,
Highbury & Islington,Wandsworth Town, 620 ,
Tottenham Court Road,Watford Junction, 620 ,
Bromley South,Westminster, 620 ,
Baker Street,Wimbledon, 620 ,
Wimbledon,Baker Street, 610 ,
Clapton,Bond Street, 610 ,
Watford Junction,Brixton LU, 610 ,
Barnes,Canary Wharf LU (E1), 610 ,
Cutty Sark,Canning Town, 610 ,
Tottenham Court Road,Chadwell Heath, 610 ,
Green Park,Cheshunt, 610 ,
Angel,Clapham Junction, 610 ,
West Ham,Clapham Junction, 610 ,
Knightsbridge,East Croydon, 610 ,
Oxford Circus,Elstree & Borehamwood, 610 ,
Kings Cross LU (Tube),Enfield Lock, 610 ,
Kings Cross LU (Western),Gidea Park, 610 ,
New Malden,Green Park, 610 ,
Green Park,Greenwich, 610 ,
Wembley Park,Kentish Town, 610 ,
West Ealing,Kings Cross LU (Western), 610 ,
Tottenham Court Road,London Fields, 610 ,
Bromley South,Paddington LU, 610 ,
Oxford Circus,Ponders End, 610 ,
Ealing Broadway,Queens Park, 610 ,
Tooting Broadway,Selhurst, 610 ,
Farringdon,Shenfield, 610 ,
Thornton Heath,South Kensington, 610 ,
Orpington,Stratford, 610 ,
Canning Town,Surbiton, 610 ,
Oxford Circus,Swanley, 610 ,
Lewisham NR,Tooting Broadway, 610 ,
Lewisham NR,Tottenham Court Road, 610 ,
Temple,Upminster, 610 ,
Upminster,Victoria LU, 610 ,
Grays,Victoria LU, 610 ,
Watford Junction,Walthamstow Central, 610 ,
Euston LU,Wandsworth Town, 610 ,
Richmond,Warren Street, 610 ,
Kings Cross LU (Western),West Ealing, 610 ,
Norwood Junction SR,Angel, 600 ,
Goodmayes,Barbican, 600 ,
Westminster,Bromley South, 600 ,
Barking,Canary Wharf DLR, 600 ,
Orpington,Canary Wharf LU (E1), 600 ,
Earlsfield,Canning Town, 600 ,
Finsbury Park LU,Cheshunt, 600 ,
Queens Park,Ealing Broadway, 600 ,
Shepherds Bush Market,Earls Court, 600 ,
Holborn,East Croydon, 600 ,
Upton Park,East Croydon, 600 ,
Hampstead Heath,Elstree & Borehamwood, 600 ,
Canary Wharf LU (E1),Elstree & Borehamwood, 600 ,
Lewisham NR,Goodge Street, 600 ,
Barbican,Goodmayes, 600 ,
Harold Wood,Great Portland Street, 600 ,
Cutty Sark,Green Park, 600 ,
Catford Bridge,Green Park, 600 ,
Holborn,Harold Wood, 600 ,
Tottenham Court Road,Harold Wood, 600 ,
Oxford Circus,Hither Green, 600 ,
Putney,Lewisham NR, 600 ,
Island Gardens,London Bridge LU, 600 ,
Imperial Wharf,Northolt, 600 ,
Orpington,Old Street, 600 ,
Swanley,Oxford Circus, 600 ,
Abbey Wood,Paddington LU, 600 ,
Ilford,Paddington LU, 600 ,
Lewisham NR,Putney, 600 ,
Barbican,Seven Kings, 600 ,
Earls Court,Shepherds Bush Market, 600 ,
Vauxhall NR,Sidcup, 600 ,
Euston Square,Stratford, 600 ,
Kings Cross LU (Western),Stratford, 600 ,
Queens Rd Peckham,Tooting Broadway, 600 ,
Gipsy Hill,Tooting Broadway, 600 ,
Sidcup,Vauxhall NR, 600 ,
Walthamstow Central,Waltham Cross, 600 ,
Finsbury Park LU,Wandsworth Town, 600 ,
Walthamstow Central,Watford Junction, 600 ,
Moorgate,Watford Junction, 600 ,
Greenford,Westbourne Park, 600 ,
East Croydon,White City, 600 ,
Sloane Square,Abbey Wood, 590 ,
Ilford,Baker Street, 590 ,
Denmark Hill,Balham LU, 590 ,
Battersea Park,Bromley South, 590 ,
New Malden,Canary Wharf LU (E1), 590 ,
Edgware Road C&H,Chadwell Heath, 590 ,
Holborn,Cheshunt, 590 ,
Marylebone LU,Clapham Junction, 590 ,
East Croydon,Colindale, 590 ,
Canning Town,Cutty Sark, 590 ,
Imperial Wharf,Ealing Broadway, 590 ,
Denmark Hill,Earls Court, 590 ,
Warren Street,Enfield Lock, 590 ,
West Drayton,Euston Square, 590 ,
Holborn,Hackney Downs, 590 ,
Dollis Hill,Hampstead Heath, 590 ,
Seven Sisters,Harlesden, 590 ,
Bond Street,Imperial Wharf, 590 ,
Ealing Broadway,Imperial Wharf, 590 ,
Barnes,Kings Cross LU (North), 590 ,
Kensington Olympia,Kingsbury, 590 ,
Hanger Lane,Ladbroke Grove, 590 ,
Streatham Common,Moorgate, 590 ,
Abbey Wood,Moorgate, 590 ,
Hampstead Heath,Neasden, 590 ,
Stratford,Orpington, 590 ,
New Eltham,Oxford Circus, 590 ,
Piccadilly Circus,Putney, 590 ,
Lewisham NR,Seven Sisters, 590 ,
Hounslow East,Shepherds Bush Market, 590 ,
Cutty Sark,Shoreditch High Street, 590 ,
Grove Park,Stratford, 590 ,
Cutty Sark,Stratford, 590 ,
Moorgate,Surbiton, 590 ,
Selhurst,Tooting Broadway, 590 ,
Richmond,Tottenham Court Road, 590 ,
Leicester Square,Wandsworth Town, 590 ,
Beckenham Junction,Warren Street, 590 ,
Cutty Sark,Waterloo LU (Jubilee), 590 ,
Stratford,Wembley Park, 590 ,
Kings Cross LU (Western),West Drayton, 590 ,
East Croydon,Aldgate East, 580 ,
Wood Lane,Barons Court, 580 ,
Falconwood,Bond Street, 580 ,
St Johns,Bond Street, 580 ,
Earls Court,Bromley South, 580 ,
Bond Street,Cheshunt, 580 ,
Shoreditch High Street,Cutty Sark, 580 ,
