"Table 1: Journeys with an out of station interchange (OSI), 26th October - 21st December 2020",,,
"Notes: Volumes have been rounded to the nearest 10, therefore journeys volumes below 5 have been suppressed.",,,
             Incomplete journeys are not included,,,
Start_station,End_station,Volume of Journeys,
Seven Sisters,Putney," 1,040 ",
Wimbledon,Stratford," 1,040 ",
Old Street,Watford Junction," 1,040 ",
Greenwich,Bond Street," 1,030 ",
Liverpool Street LU,Clapham Junction," 1,030 ",
Oxford Circus,Clapton," 1,030 ",
Warren Street,Earlsfield," 1,030 ",
North Greenwich,East Croydon," 1,030 ",
Brixton LU,East Croydon," 1,030 ",
Southall,Euston Square," 1,030 ",
Clapham Junction,Liverpool Street LU," 1,030 ",
Surbiton,Piccadilly Circus," 1,030 ",
Blackhorse Road,Stratford," 1,030 ",
Barking,Clapham Junction," 1,020 ",
Monument,Clapham Junction," 1,020 ",
Ladbroke Grove,Ealing Broadway," 1,020 ",
Lewisham NR,Euston LU," 1,020 ",
Watford Junction,Old Street," 1,020 ",
Tottenham Court Road,Surbiton," 1,020 ",
Clapham Junction,Blackfriars LU," 1,010 ",
Clapham Junction,Blackhorse Road," 1,010 ",
Sidcup,Bond Street," 1,010 ",
Grove Park,Bond Street," 1,010 ",
Richmond,Canary Wharf LU (E1)," 1,010 ",
Vauxhall LU,Cheshunt," 1,010 ",
Tottenham Court Road,Clapton," 1,010 ",
Barking,Cutty Sark," 1,010 ",
Walthamstow Central,Earlsfield," 1,010 ",
Harrow & Wealdstone,Oxford Circus," 1,010 ",
London Bridge NR,Surbiton," 1,010 ",
Clapton,Tottenham Court Road," 1,010 ",
Clapham Junction,Tottenham Hale," 1,010 ",
Stratford,Blackhorse Road," 1,000 ",
Clapham Junction,Brixton LU," 1,000 ",
Lewisham NR,Clapham Junction," 1,000 ",
Blackfriars LU,Clapham Junction," 1,000 ",
Chadwell Heath,Farringdon," 1,000 ",
Earlsfield,Seven Sisters," 1,000 ",
Putney,Stratford," 1,000 ",
Enfield Lock,Walthamstow Central," 1,000 ",
Brimsdown,Blackhorse Road, 990 ,
East Croydon,Ealing Broadway, 990 ,
Blackhorse Road,East Croydon, 990 ,
Hammersmith D&P,East Croydon, 990 ,
Lewisham NR,Sloane Square, 990 ,
Shepherds Bush Market,South Kensington, 990 ,
Peckham Rye,Tooting Broadway, 990 ,
Tottenham Hale,East Croydon, 980 ,
Baker Street,Lewisham NR, 980 ,
Bond Street,Putney, 980 ,
Clapham Junction,Regents Park, 980 ,
Putney,Seven Sisters, 980 ,
North Greenwich,Vauxhall NR, 980 ,
Blackhorse Road,Brimsdown, 970 ,
Embankment,Bromley South, 970 ,
Tottenham Hale,Clapham Junction, 970 ,
Hayes & Harlington,Elephant & Castle, 970 ,
Hayes & Harlington,Euston Square, 970 ,
St Mary Cray,Oxford Circus, 970 ,
Romford,Oxford Circus, 970 ,
South Kensington,Shepherds Bush Market, 970 ,
Clapham Junction,Bromley South, 960 ,
Leicester Square,Earlsfield, 960 ,
Wood Green,East Croydon, 960 ,
Kings Cross LU (Western),Forest Gate, 960 ,
